video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
814574235,sd,540p,video/mp4,960,540,540p,25,208619606,198.96MB,https://player.vimeo.com/progressive_redirect/playback/814574235/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=47d96fab6440e47c3b43b8192f940affefa977dd37b0f4258dc54d4e9d3c0c88
814574235,sd,360p,video/mp4,640,360,360p,25,158158567,150.83MB,https://player.vimeo.com/progressive_redirect/playback/814574235/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=259826da95c74a8b23375192391356bd907146ec954de04e767b342982565e50
814574235,sd,240p,video/mp4,426,240,240p,25,129046188,123.07MB,https://player.vimeo.com/progressive_redirect/playback/814574235/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=de74a43824b025e7ff49e823dc6688050242a38cf5c3f643f0af8eeb6ed25738
814574235,hd,1080p,video/mp4,1920,1080,1080p,25,352068299,335.76MB,https://player.vimeo.com/progressive_redirect/playback/814574235/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7bf3e3bfaec3c81c9e3e01f3b43735eab9c729dfbc284be8ba43af2c526a7b9e
814574235,hd,720p,video/mp4,1280,720,720p,25,260786913,248.71MB,https://player.vimeo.com/progressive_redirect/playback/814574235/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c411fd817131f1e74d6b87d935538448ed8c1092ad0c2718d1d598f78639c7ee
814574235,hls,adaptive,video/mp4,,,540p,25,208619606,198.96MB,https://player.vimeo.com/external/814574235.m3u8?s=c033199c7e71a94af802093280bf15da9590e1a9&oauth2_token_id=1643955558
814893435,sd,360p,video/mp4,640,360,360p,25,111905130,106.72MB,https://player.vimeo.com/progressive_redirect/playback/814893435/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=32a2dc1a25faecdcafca590f1e1d27914e1a12304c70b94c9aef0d2aeaa92ae7
814893435,hd,1080p,video/mp4,1920,1080,1080p,25,243889518,232.59MB,https://player.vimeo.com/progressive_redirect/playback/814893435/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=12cfc18cdaf1c8202e4e2f4abbacb15ec067b09c10cb44fc64ba774a748e0b4e
814893435,sd,240p,video/mp4,426,240,240p,25,90732386,86.53MB,https://player.vimeo.com/progressive_redirect/playback/814893435/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=91a581102617df11c43c7a9aa8599c920c1d80e3f8989ba0c3da2ec6cdbdcac8
814893435,hd,720p,video/mp4,1280,720,720p,25,182369866,173.92MB,https://player.vimeo.com/progressive_redirect/playback/814893435/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1f663caae3e399c4b40e0066a76b3d6be7821cdf80e1f2d0eb795441392d5c3c
