video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
573277050,hd,1080p,video/mp4,1920,1080,1080p,30,135355694,129.09MB,https://player.vimeo.com/progressive_redirect/playback/573277050/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=874e06919e377c4e9c965a44cd40708e0fbaac5c89718ba2d3080e2451f9da09
573277050,hls,adaptive,video/mp4,,,360p,30,44729677,42.66MB,https://player.vimeo.com/external/573277050.m3u8?s=71f3c19c4ed7939c91644211241993408c573f50&oauth2_token_id=1643955558
574855393,sd,360p,video/mp4,640,360,360p,30,22011131,20.99MB,https://player.vimeo.com/progressive_redirect/playback/574855393/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=96e5fa5ea15cc40451bc7aea3c0bb89bf7f99b1b50c14f2e41abb2376256fdff
574855393,sd,540p,video/mp4,960,540,540p,30,41037542,39.14MB,https://player.vimeo.com/progressive_redirect/playback/574855393/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=fbebf90076191fc36f2054992072806c42bb64b044740a57a353c1594ef15182
574855393,hd,1080p,video/mp4,1920,1080,1080p,30,69584635,66.36MB,https://player.vimeo.com/progressive_redirect/playback/574855393/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a0e9b9aa1ad02c531c546996b86ef3a3c4dd92136eba67ce0a4fe0de23c7f06c
574855393,hd,720p,video/mp4,1280,720,720p,30,49140904,46.86MB,https://player.vimeo.com/progressive_redirect/playback/574855393/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=71baf2ff47d164c79279178f103e75d5fc517128e4aa9c668a74cdfc18c9b53b
574855393,hls,adaptive,video/mp4,,,360p,30,22011131,20.99MB,https://player.vimeo.com/external/574855393.m3u8?s=417b886c3817e2ae484b941c879b6451ff51848d&oauth2_token_id=1643955558
574852362,sd,540p,video/mp4,960,540,540p,30,65719489,62.67MB,https://player.vimeo.com/progressive_redirect/playback/574852362/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3a89e3bd0321c7bce373f7c8a20e0548f90f6d6a4a62dcfa614c8b8ddb748b5d
574852362,sd,360p,video/mp4,640,360,360p,30,34688618,33.08MB,https://player.vimeo.com/progressive_redirect/playback/574852362/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=09cb3a2fb5c80c0800fe97c3dce692d10997109057e80784fcdd808ffc9ada7e
574852362,hd,720p,video/mp4,1280,720,720p,30,73552437,70.15MB,https://player.vimeo.com/progressive_redirect/playback/574852362/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=31a8990cb7e65f2ad5e9cdb630ec274dfc3ac876fd0538e6a24fea641e8204f8
574852362,hd,1080p,video/mp4,1920,1080,1080p,30,90875850,86.67MB,https://player.vimeo.com/progressive_redirect/playback/574852362/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=fe7c8573f8f52b9aff5a9f0d9cac37eca927e061badf4fcad92f5ddec5579440
574852362,hls,adaptive,video/mp4,,,540p,30,65719489,62.67MB,https://player.vimeo.com/external/574852362.m3u8?s=f947f38246b1ab005b10c2b00777ce0f699e089a&oauth2_token_id=1643955558
574864540,sd,540p,video/mp4,960,540,540p,30,51339702,48.96MB,https://player.vimeo.com/progressive_redirect/playback/574864540/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=6a8b837474df15840b7077f7c59cae76a5d9e94f5a5217531b444793c852ee49
574864540,hd,720p,video/mp4,1280,720,720p,30,64338342,61.36MB,https://player.vimeo.com/progressive_redirect/playback/574864540/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=fc03de5219a06e8a628638f84bf9be943b7b76c45d2a293238222759f330033c
574864540,sd,360p,video/mp4,640,360,360p,30,26891438,25.65MB,https://player.vimeo.com/progressive_redirect/playback/574864540/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ab7809ac1c5c00910fa04e39f5898845bae63420eb70a4baf5d66db149774b61
574864540,hd,1080p,video/mp4,1920,1080,1080p,30,89440907,85.3MB,https://player.vimeo.com/progressive_redirect/playback/574864540/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=80614c5503968e9fa557456b471bfaac9ab7a667f9c85b7616ee278d5d8e245d
574864540,hls,adaptive,video/mp4,,,540p,30,51339702,48.96MB,https://player.vimeo.com/external/574864540.m3u8?s=4c0f84a7e554529ee66019eb45e9116fb7ef9132&oauth2_token_id=1643955558
575764833,sd,540p,video/mp4,960,540,540p,30,37389068,35.66MB,https://player.vimeo.com/progressive_redirect/playback/575764833/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=fe7352c45941858b0dab2602180fed733ce9ff49053e198fa951dab67a03c160
575764833,sd,360p,video/mp4,640,360,360p,30,19918766,19MB,https://player.vimeo.com/progressive_redirect/playback/575764833/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=f5c6b532a33252a5cbd7429bf1287675ff1de5d8ae0443259146afdc7d452727
575764833,hd,720p,video/mp4,1280,720,720p,30,42914849,40.93MB,https://player.vimeo.com/progressive_redirect/playback/575764833/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c193042c7b84da54c558520028a22f032e594f609b8dbdc50d6b01c588d38a6e
575764833,hd,1080p,video/mp4,1920,1080,1080p,30,52605084,50.17MB,https://player.vimeo.com/progressive_redirect/playback/575764833/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=267a134b69a210db7fb0224ff313374e9f4b9bb9f3cfc04249f7d842b191a478
575764833,hls,adaptive,video/mp4,,,540p,30,37389068,35.66MB,https://player.vimeo.com/external/575764833.m3u8?s=8d70b5577ea0fd07c78556173ca7904f9f4588fc&oauth2_token_id=1643955558
576343195,sd,540p,video/mp4,960,540,540p,30,34066903,32.49MB,https://player.vimeo.com/progressive_redirect/playback/576343195/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7b9a13a59cbc7b6692787649ce6f56bcc5de4327d17ce4afa7b75485c75d5aa8
576343195,hd,720p,video/mp4,1280,720,720p,30,39238988,37.42MB,https://player.vimeo.com/progressive_redirect/playback/576343195/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5fd9695a6d5726a621acbc676725653f907570451bb4a65f619f953f0d29c24e
576343195,sd,360p,video/mp4,640,360,360p,30,18435855,17.58MB,https://player.vimeo.com/progressive_redirect/playback/576343195/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7dbabc00b82c086c1227da82355270445ff1d0afa47b41eeb32dadf1b78211d4
576343195,hd,1080p,video/mp4,1920,1080,1080p,30,48604654,46.35MB,https://player.vimeo.com/progressive_redirect/playback/576343195/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=93f03f30f57a3ff0cdcb10666b99b8753d0b14318ff416923df69c04101200fc
576343195,hls,adaptive,video/mp4,,,540p,30,34066903,32.49MB,https://player.vimeo.com/external/576343195.m3u8?s=a0873110eb2d07ea4bc3e5081533e6c2f6ab623b&oauth2_token_id=1643955558
578479738,hd,1080p,video/mp4,1920,1080,1080p,30,69927695,66.69MB,https://player.vimeo.com/progressive_redirect/playback/578479738/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=54604c62314b7e839d684178896748161599f320b8a98e4b09a750174a0a456f
578479738,sd,360p,video/mp4,640,360,360p,30,27230900,25.97MB,https://player.vimeo.com/progressive_redirect/playback/578479738/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=468b43feaddc9f10e456c5277d16c614d8e0e0800be5ce3410e4fe38b217cb8b
578479738,hd,720p,video/mp4,1280,720,720p,30,57835762,55.16MB,https://player.vimeo.com/progressive_redirect/playback/578479738/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ea4cc6c1e79602f15f91b86f849a28590f16a48e1717abb62faecc2f54b7b0a0
578479738,sd,540p,video/mp4,960,540,540p,30,51102805,48.74MB,https://player.vimeo.com/progressive_redirect/playback/578479738/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c7cb21d00f0c34e98934febedcbda6f4556224ff4aeb4e5a8b773da78655818b
578479738,hls,adaptive,video/mp4,,,1080p,30,69927695,66.69MB,https://player.vimeo.com/external/578479738.m3u8?s=5effdb5716cba1aac9c18ae81ffa657c288446df&oauth2_token_id=1643955558
579059204,hd,1080p,video/mp4,1920,1080,1080p,30,83741452,79.86MB,https://player.vimeo.com/progressive_redirect/playback/579059204/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1165557fde240f221ad546f8fe7a62c48a7d4ad075ee95023a45b7c85599bbcb
579059204,sd,360p,video/mp4,640,360,360p,30,32743530,31.23MB,https://player.vimeo.com/progressive_redirect/playback/579059204/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=81829a2c65d1ee4e9971204c21a86de8a85b4aaf7b6ed837d10e11a42efff73d
579059204,sd,540p,video/mp4,960,540,540p,30,61490193,58.64MB,https://player.vimeo.com/progressive_redirect/playback/579059204/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ef705ced32d61d3cb5350ce62a4b4cfefb6ec4c1d7637cbeac233c985f541aaa
579059204,hd,720p,video/mp4,1280,720,720p,30,69007275,65.81MB,https://player.vimeo.com/progressive_redirect/playback/579059204/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7996b3637720340c7dce9e46c0f5f53b96c8452bd78b7bf3afd912f113bfb404
579059204,hls,adaptive,video/mp4,,,1080p,30,83741452,79.86MB,https://player.vimeo.com/external/579059204.m3u8?s=31d2087ec108825598b84f541857db7a65b6ae80&oauth2_token_id=1643955558
579646414,sd,540p,video/mp4,960,540,540p,30,31916704,30.44MB,https://player.vimeo.com/progressive_redirect/playback/579646414/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=65dc40217eafaf8374de1f3c00b1d4a5c360c84a0482290b216a1828a9a58673
579646414,hd,720p,video/mp4,1280,720,720p,30,36495546,34.8MB,https://player.vimeo.com/progressive_redirect/playback/579646414/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=8d667387e8b01ba8a8436ad5e73ae3a7ba1f8a435ab3ec1160bb059d9b777a16
579646414,hd,1080p,video/mp4,1920,1080,1080p,30,44916636,42.84MB,https://player.vimeo.com/progressive_redirect/playback/579646414/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5c4beed492f34680ab453baa28cc2dc1378422587d1a978d2fb2d7340b452b0c
579646414,sd,360p,video/mp4,640,360,360p,30,17046827,16.26MB,https://player.vimeo.com/progressive_redirect/playback/579646414/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5b8b62fe43e0a5f0053608c724b24b11d84b03bd86636ae1cd2101273fa2dea4
579646414,hls,adaptive,video/mp4,,,540p,30,31916704,30.44MB,https://player.vimeo.com/external/579646414.m3u8?s=3d4a74cf593c7abe3a21d6d2cb6d2d9391532523&oauth2_token_id=1643955558
